,article_doi,Publication Year
ATC07236,10.1021/bm4014149,2013
ATC07237,10.1016/j.msec.2017.02.160,2017
ATC07238,10.1021/acsapm.9b00194,2019
ATC07239,10.1016/j.scitotenv.2018.05.350,2018
ATC07240,10.1016/j.optmat.2021.111945,2022
ATC07241,10.3390/nano11123230,2021
ATC07242,10.3390/ma9010037,2016
ATC07243,10.1021/acsami.6b04321,2016
ATC07244,10.1021/acsnano.8b09270,2019
ATC07245,10.1007/s10661-014-4253-0,2015
ATC07246,10.2174/1573411016666200106101109,2021
ATC07247,10.1021/bi201925t,2012
ATC07248,10.1021/acsomega.2c06986,2023
ATC07249,10.1016/j.aquatox.2014.11.008,2015
ATC07250,10.1016/j.colsurfa.2022.128303,2022
ATC07251,10.1021/acsfoodscitech.4c00123,2024
ATC07252,10.12989/anr.2015.3.4.243,2015
ATC07253,10.1007/s12010-019-03004-2,2019
ATC07254,10.1007/s00339-023-06988-1,2023
ATC07255,10.1016/j.foodcont.2022.108822,2022
ATC07256,10.1088/1361-6528/ab1fef,2019
ATC07257,10.1016/j.molstruc.2019.03.051,2019
ATC07258,10.3390/foods13010058,2024
ATC07259,10.3390/ijms241310599,2023
ATC07260,10.1002/chem.201905228,2020
ATC07261,10.1063/1.2710191,2007
ATC07262,10.1007/s40195-016-0380-7,2016
ATC07263,10.1088/1748-605X/ab1a04,2019
ATC07264,10.1080/01480545.2022.2164298,2024
ATC07265,10.1016/j.mimet.2008.01.004,2008
ATC07266,10.2320/matertrans.MD201717,2018
ATC07267,10.3390/polym14102094,2022
ATC07268,10.1070/QE2014v044n07ABEH015497,2014
ATC07269,10.1016/j.carbpol.2013.08.097,2014
ATC07270,10.1166/jnn.2016.10901,2016
ATC07271,10.54085/ap.2023.12.1.58,2023
ATC07272,10.1021/nn200372g,2011
ATC07273,10.1177/08853282211048570,2022
ATC07274,10.1016/j.ijpharm.2019.05.069,2019
ATC07275,10.1111/jfpp.16213,2022
ATC07276,10.1111/mmi.13347,2016
ATC07277,10.1039/c7cc02905e,2017
ATC07278,10.1016/j.scitotenv.2018.09.007,2019
ATC07279,10.1016/j.inoche.2021.108559,2021
ATC07280,10.1016/j.carbpol.2023.121381,2024
ATC07281,10.1039/c6en00675b,2017
ATC07282,10.1007/s00604-020-04407-3,2020
ATC07283,10.1039/c4nj00547c,2014
ATC07284,10.1016/j.molstruc.2015.02.023,2015
ATC07285,10.3390/vaccines9030304,2021
ATC07286,10.1016/j.envres.2023.118072,2024
ATC07287,10.1016/j.jpba.2016.10.025,2017
ATC07288,10.1093/molbev/msp291,2010
ATC07289,10.1007/s12034-016-1259-y,2016
ATC07290,10.1016/j.msec.2016.04.052,2016
ATC07291,10.1016/j.ijhydene.2019.02.245,2019
ATC07292,10.1016/j.jhazmat.2021.127824,2022
ATC07293,10.1016/j.envpol.2017.06.016,2017
ATC07294,10.1021/acsomega.2c06880,2023
ATC07295,10.1242/jcs.025320,2008
ATC07296,10.1016/j.aquatox.2023.106454,2023
ATC07297,10.1016/j.surfcoat.2019.124898,2019
ATC07298,10.1002/adfm.201900946,2019
ATC07299,10.2147/IDR.S234425,2020
ATC07300,10.1021/nn202116p,2011
ATC07301,10.1186/s42834-021-00111-w,2022
ATC07302,10.1038/s41598-024-56052-y,2024
ATC07303,10.1021/acsami.6b05292,2016
ATC07304,10.1016/j.matchemphys.2012.03.008,2012
ATC07305,10.1080/17435390.2019.1665727,2020
ATC07306,10.1016/j.scitotenv.2014.06.092,2014
ATC07307,10.1016/j.jhazmat.2016.05.070,2016
ATC07308,10.1007/s12010-012-9759-8,2012
ATC07309,10.1049/iet-nbt.2018.5102,2019
ATC07310,10.1016/j.biomaterials.2015.05.044,2015
ATC07311,10.1016/0378-1119(87)90383-0,1987
ATC07312,10.4014/jmb.2301.01004,2023
ATC07313,10.1007/s11051-011-0597-3,2011
ATC07314,10.25303/1808rjbt089096,2023
ATC07315,10.1016/j.bios.2022.114669,2022
ATC07316,10.1016/j.snb.2023.134479,2023
ATC07317,10.3390/ijms231810682,2022
ATC07318,10.1080/17435390.2018.1564079,2019
ATC07319,10.1007/s11998-018-0100-5,2019
ATC07320,10.3390/bioengineering9090452,2022
ATC07321,10.1128/mBio.00045-15,2015
ATC07322,10.1039/c6ra03614g,2016
ATC07323,10.1016/j.matdes.2017.02.008,2017
ATC07324,10.21608/EJCHEM.2021.75608.3707,2021
ATC07325,10.1016/j.carbon.2015.05.084,2015
ATC07326,10.1080/02726351.2022.2145587,2023
ATC07327,10.1111/jam.15071,2021
ATC07328,10.1016/j.ecoenv.2019.109856,2020
ATC07329,10.2203/dose-response.10-031.Buchanan,2012
ATC07330,10.1016/j.aquatox.2013.01.010,2013
ATC07331,10.1016/j.algal.2013.11.013,2014
ATC07332,10.1016/j.ijbiomac.2023.126512,2023
ATC07333,10.1021/acsami.4c01565,2024
ATC07334,10.1016/j.jhazmat.2022.130275,2023
ATC07335,10.1016/j.ceramint.2018.01.198,2018
ATC07336,10.1016/j.jiec.2021.04.030,2021
ATC07337,10.1080/00087114.2016.1139416,2016
ATC07338,10.1166/jbn.2012.1393,2012
ATC07339,10.1016/j.matlet.2006.08.028,2007
ATC07340,10.1016/j.ecoenv.2012.06.029,2012
ATC07341,10.1016/j.ecoenv.2024.116035,2024
ATC07342,10.1007/s42770-021-00455-w,2021
ATC07343,10.1039/b802036a,2008
ATC07344,10.1016/j.actbio.2019.01.064,2019
ATC07345,10.1099/jmm.0.001204,2020
ATC07346,10.1080/07391102.2022.2119602,2023
ATC07347,10.3390/polym13203559,2021
ATC07348,10.1111/lam.13428,2021
ATC07349,10.1007/s11356-021-12455-2,2021
ATC07350,10.1371/journal.pone.0152010,2016
ATC07351,10.1016/j.talanta.2008.09.014,2009
ATC07352,10.1016/j.compositesb.2021.109074,2021
ATC07353,10.1002/pen.21889,2011
ATC07354,10.1016/j.envpol.2017.10.012,2018
ATC07355,10.1021/acs.jafc.1c03625,2021
ATC07356,10.3390/nano8040250,2018
ATC07357,10.3390/pharmaceutics14020280,2022
ATC07358,10.1002/ep.13262,2019
ATC07359,10.1016/j.impact.2022.100383,2022
ATC07360,10.1039/c7nr08499d,2018
ATC07361,10.1016/j.jics.2022.100695,2022
ATC07362,10.1016/j.scitotenv.2014.07.085,2014
ATC07363,10.1016/j.jksus.2019.12.004,2020
ATC07364,10.1039/c9cc09166a,2020
ATC07365,10.1007/s00449-015-1418-3,2015
ATC07366,10.1021/acsnano.8b00036,2018
ATC07367,10.1088/1748-605X/acf25c,2023
ATC07368,10.1016/j.fpsl.2024.101251,2024
ATC07369,10.1016/j.colsurfb.2010.03.031,2010
ATC07370,10.1016/j.ultsonch.2017.11.001,2018
ATC07371,10.1149/1945-7111/aba33d,2020
ATC07372,10.3390/nano4020301,2014
ATC07373,10.1002/adma.202003912,2020
ATC07374,10.1016/j.apsusc.2022.155599,2023
ATC07375,10.1016/j.bios.2014.08.075,2015
ATC07376,10.1021/acsbiomaterials.0c00776,2021
ATC07377,10.1016/j.jksus.2024.103256,2024
ATC07378,10.1002/fsn3.1305,2020
ATC07379,10.1007/s00216-012-6225-y,2012
ATC07380,10.1007/s40843-021-1746-4,2022
ATC07381,10.1002/em.21844,2014
ATC07382,10.3103/S0891416821040108,2021
ATC07383,10.1002/jrs.2985,2012
ATC07384,10.1016/j.ejps.2017.03.044,2017
ATC07385,10.1002/pat.5518,2022
ATC07386,10.1007/s13404-012-0048-7,2012
ATC07387,10.1016/j.envpol.2021.118413,2022
ATC07388,10.3389/fmars.2021.768814,2021
ATC07389,10.1007/s11274-012-1061-y,2012
ATC07390,10.37190/ppmp/130244,2020
ATC07391,10.5897/AJB11.2379,2011
ATC07392,10.1016/j.cclet.2021.02.044,2021
ATC07393,10.1049/iet-nbt.2019.0096,2019
ATC07394,10.2147/IJN.S289243,2020
ATC07395,10.1166/jbmb.2020.1945,2020
ATC07396,10.1016/j.apmt.2020.100905,2021
ATC07397,10.3390/coatings10020157,2020
ATC07398,10.1016/j.carbpol.2016.11.083,2017
ATC07399,10.1016/j.msec.2015.06.033,2015
ATC07400,10.1016/j.fct.2022.113340,2022
ATC07401,10.1007/s10876-019-01546-3,2019
ATC07402,10.1186/s11671-016-1711-3,2016
ATC07403,10.1016/j.porgcoat.2019.04.071,2019
ATC07404,10.2217/NNM.14.198,2015
ATC07405,10.1007/s11696-022-02513-5,2023
ATC07406,10.1166/jctn.2010.1561,2010
ATC07407,10.1016/j.colsurfb.2011.09.024,2012
ATC07408,10.1016/j.jhazmat.2022.128662,2022
ATC07409,10.1111/j.1365-2095.2011.00874.x,2012
ATC07410,10.1039/c5nr05914c,2015
ATC07411,10.3390/jcs7020052,2023
ATC07412,10.1021/acsami.0c11052,2020
ATC07413,10.1016/j.envpol.2016.12.055,2017
ATC07414,10.1007/s10856-015-5538-8,2015
ATC07415,10.1016/j.jbiotec.2011.03.014,2011
ATC07416,10.1049/iet-nbt.2017.0200,2018
ATC07417,10.1021/jf104402t,2011
ATC07418,10.3390/fib10060052,2022
ATC07419,10.1016/j.fct.2022.113366,2022
ATC07420,10.1021/es2042977,2012
ATC07421,10.1166/jnn.2009.427,2009
ATC07422,10.1016/j.ecoenv.2015.03.012,2015
ATC07423,10.1002/nano.202100183,2022
ATC07424,10.3390/membranes13060604,2023
ATC07425,10.3390/jfb14060325,2023
ATC07426,10.1002/etc.649,2011
ATC07427,10.1016/j.ijbiomac.2023.124530,2023
ATC07428,10.1088/1361-6528/aaa624,2018
ATC07429,10.3389/fchem.2021.769648,2021
ATC07430,10.1039/d2nj01744j,2022
ATC07431,10.1007/s42452-020-2762-8,2020
ATC07432,10.1080/02757540.2018.1429418,2018
ATC07433,10.1016/j.foodchem.2016.10.102,2017
ATC07434,10.1021/acsami.5b04479,2015
ATC07435,10.1016/j.fpsl.2023.101031,2023
ATC07436,10.1016/j.jphotobiol.2017.05.041,2017
ATC07437,10.1016/j.poly.2016.09.012,2016
ATC07438,10.1186/s13765-024-00891-w,2024
ATC07439,10.1016/j.bios.2018.11.001,2019
ATC07440,10.1007/s10924-020-01755-2,2020
ATC07441,10.3390/polym13040659,2021
ATC07442,10.1039/c7ra00509a,2017
ATC07443,10.1007/s11696-018-0650-0,2019
ATC07444,10.1088/1361-665X/ac9baf,2022
ATC07445,10.1021/acsomega.2c07944,2023
ATC07446,10.1016/j.micpath.2022.105427,2022
ATC07447,10.3390/toxins15020127,2023
ATC07448,10.1016/j.saa.2014.02.083,2014
ATC07449,10.1007/s00289-023-04863-w,2024
ATC07450,10.1016/j.jhazmat.2020.122250,2020
ATC07451,10.1166/jnn.2019.16282,2019
ATC07452,10.1039/b802338g,2008
ATC07453,10.1007/s11051-015-3093-3,2015
ATC07454,10.1504/IJNT.2017.082437,2017
ATC07455,10.1007/s11095-013-1254-6,2014
ATC07456,10.1016/j.ijpharm.2024.124095,2024
ATC07457,10.1039/c9ra00214f,2019
ATC07458,10.3390/nano14020150,2024
ATC07459,10.1016/j.inoche.2023.111802,2024
ATC07460,10.1016/j.physe.2023.115730,2023
ATC07461,10.1021/acsabm.2c00483,2022
ATC07462,10.1016/j.jmb.2007.01.015,2007
ATC07463,10.1016/j.apsusc.2022.155990,2023
ATC07464,10.1039/d1na00056j,2021
ATC07465,10.1021/acs.analchem.1c03271,2021
ATC07466,10.22038/nmj.2020.07.0008,2020
ATC07467,10.1002/cbic.202300572,2024
ATC07468,10.1007/s00264-023-05757-2,2023
ATC07469,10.1007/s00604-018-3150-6,2019
ATC07470,10.1002/jobm.202100010,2021
ATC07471,10.1007/s12011-018-1475-y,2019
ATC07472,10.1007/s10904-019-01174-4,2019
ATC07473,10.1002/cm.20102,2006
ATC07474,10.1016/j.jcis.2020.05.001,2020
ATC07475,10.1016/j.saa.2023.122888,2023
ATC07476,10.1016/j.foodchem.2021.131763,2022
ATC07477,10.3390/nano7060139,2017
ATC07478,10.1016/j.fct.2016.08.023,2016
ATC07479,10.1016/j.jmrt.2021.10.126,2021
ATC07480,10.1002/chem.201400011,2014
ATC07481,10.1016/j.desal.2010.05.009,2010
ATC07482,10.1016/j.colsurfb.2016.05.007,2016
ATC07483,10.1016/j.impact.2019.100193,2020
ATC07484,10.22376/ijpbs/lpr.2020.10.5.L161-168,2021
ATC07485,10.1080/17435390802546089,2009
ATC07486,10.1080/10412905.2023.2270547,2023
ATC07487,10.1016/j.apsusc.2019.02.067,2019
ATC07488,10.1049/iet-nbt.2016.0103,2017
ATC07489,10.1021/acs.est.9b07657,2020
ATC07490,10.1155/2019/4649506,2019
ATC07491,10.3390/app13042158,2023
ATC07492,10.1007/s00216-010-3915-1,2010
ATC07493,10.1016/j.bios.2015.10.017,2016
ATC07494,10.1371/journal.pone.0252920,2021
ATC07495,10.1186/s13568-017-0332-2,2017
ATC07496,10.1039/d0bm01282c,2020
ATC07497,10.1039/c3tb20529k,2013
ATC07498,10.1016/j.jece.2024.112263,2024
ATC07499,10.1038/nature14874,2015
ATC07500,10.1016/j.bcab.2019.101373,2019
ATC07501,10.1016/j.envpol.2017.10.116,2018
ATC07502,10.1016/j.molstruc.2023.135251,2023
ATC07503,10.1016/j.foodchem.2020.127955,2021
ATC07504,10.1007/s40089-021-00345-x,2021
ATC07505,10.1021/acsnano.7b08500,2018
ATC07506,10.1016/j.colsurfa.2014.03.097,2014
ATC07507,10.3390/nano9091210,2019
ATC07508,10.1016/j.bios.2005.04.021,2006
ATC07509,10.3390/w13081051,2021
ATC07510,10.1016/j.eng.2023.05.022,2024
ATC07511,10.1016/j.jcis.2013.09.016,2014
ATC07512,10.1007/s00216-009-3316-5,2010
ATC07513,10.1016/j.indcrop.2024.118384,2024
ATC07514,10.1049/iet-nbt.2018.5394,2019
ATC07515,10.1080/01480545.2022.2115509,2023
ATC07516,10.21608/ejchem.2019.14908.1904,2020
ATC07517,10.1016/j.biortech.2014.07.081,2014
ATC07518,10.1016/j.carbpol.2021.117772,2021
ATC07519,10.1002/slct.202103811,2021
ATC07520,10.1093/toxsci/kft081,2013
ATC07521,10.1109/LSENS.2023.3337938,2024
ATC07522,10.1007/s10854-020-03413-8,2020
ATC07523,10.1080/10590501.2019.1602991,2019
ATC07524,10.1002/app.51773,2022
ATC07525,10.1007/s12374-023-09399-0,2023
ATC07526,10.1292/jvms.54.145,1992
ATC07527,10.1016/j.mtbio.2022.100291,2022
ATC07528,10.1007/s42765-021-00090-y,2022
ATC07529,10.1016/j.apsusc.2014.05.132,2014
ATC07530,10.1016/j.aca.2020.07.058,2020
ATC07531,10.1088/2053-1591/ad4f53,2024
ATC07532,10.1016/j.msec.2014.10.058,2015
ATC07533,10.1007/s10854-017-6937-z,2017
ATC07534,10.1016/j.indcrop.2023.117427,2023
ATC07535,10.1016/S0141-0229(97)00244-5,1998
ATC07536,10.1186/s11671-016-1348-2,2016
ATC07537,10.1021/acs.langmuir.3c00118,2023
ATC07538,10.1186/s40824-021-00219-5,2021
ATC07539,10.1007/s11356-019-06223-6,2019
ATC07540,10.1016/j.msec.2014.09.028,2014
ATC07541,10.1007/s11274-021-03187-z,2022
ATC07542,10.3390/coatings13071169,2023
ATC07543,10.1016/j.ecoenv.2012.08.025,2012
ATC07544,10.1007/s42452-024-05770-z,2024
ATC07545,10.1089/zeb.2013.0921,2014
ATC07546,10.3390/nano11020385,2021
ATC07547,10.1016/j.biortech.2012.09.129,2013
ATC07548,10.1007/s11051-020-04863-1,2020
ATC07549,10.1016/j.scitotenv.2021.145957,2021
ATC07550,10.3389/fmicb.2023.1072043,2023
ATC07551,10.1007/s12668-023-01107-z,2023
ATC07552,10.4315/0362-028X-68.9.1804,2005
ATC07553,10.1155/2018/1862597,2018
ATC07554,10.3390/nano12111946,2022
ATC07555,10.1186/s12302-021-00463-5,2021
ATC07556,10.1007/s10971-019-05197-8,2020
ATC07557,10.1039/d3nj02378h,2023
ATC07558,10.1016/j.ijbiomac.2023.124561,2023
ATC07559,10.1007/s00216-020-02902-3,2020
ATC07560,10.1016/j.ultsonch.2019.04.006,2019
ATC07561,10.3390/ijms231810708,2022
ATC07562,10.1016/j.aquatox.2011.07.005,2011
ATC07563,10.1016/j.foodchem.2022.133970,2023
ATC07564,10.1088/2053-1591/aad268,2018
ATC07565,10.1080/10934529.2019.1643693,2019
ATC07566,10.1016/j.microc.2023.109180,2023
ATC07567,10.1080/10717544.2020.1724209,2020
ATC07568,10.1021/acssuschemeng.7b04566,2018
ATC07569,10.1007/s00253-019-09880-2,2019
ATC07570,10.1007/s11164-019-03857-6,2020
ATC07571,10.1002/slct.202401142,2024
ATC07572,10.1080/02726351.2022.2088432,2023
ATC07573,10.1049/iet-nbt.2017.0079,2018
ATC07574,10.1016/j.porgcoat.2018.04.018,2018
ATC07575,10.1016/j.jece.2021.105395,2021
ATC07576,10.1007/s11274-020-02845-y,2020
ATC07577,10.1007/s00253-015-6475-7,2015
ATC07578,10.33263/BRIAC121.529536,2022
ATC07579,10.3390/nano11113031,2021
ATC07580,10.4103/jpnr.JPNR_21_18,2019
ATC07581,10.1177/0885328218755538,2018
ATC07582,10.1007/s11051-006-9142-1,2006
ATC07583,10.1002/fsn3.2944,2022
ATC07584,10.1039/d2ra07827a,2023
ATC07585,10.1039/c5tx00383k,2016
ATC07586,10.1016/j.bios.2011.04.050,2011
ATC07587,10.1016/j.ijbiomac.2012.06.009,2012
ATC07588,10.1007/s12221-018-7691-4,2018
ATC07589,10.3390/cryst11060584,2021
ATC07590,10.1016/j.jcis.2021.10.019,2022
ATC07591,10.1016/j.photonics.2019.100721,2019
ATC07592,10.1016/j.apcatb.2012.09.010,2013
ATC07593,10.3390/nano11102574,2021
ATC07594,10.2166/ws.2020.263,2021
ATC07595,10.3390/nano8020088,2018
ATC07596,10.1007/s40201-021-00679-w,2021
ATC07597,10.1016/j.actbio.2022.02.029,2022
ATC07598,10.1179/135100006X154987,2006
ATC07599,10.1016/j.micpath.2024.106571,2024
ATC07600,10.1002/jbm.a.35042,2014
ATC07601,10.1016/j.saa.2019.117962,2020
ATC07602,10.1139/cjz-2021-0099,2022
ATC07603,10.1166/jnn.2010.2519,2010
ATC07604,10.1039/c4tb01195c,2014
ATC07605,10.1080/00032711003789983,2011
ATC07606,10.1039/d0ra09590g,2021
ATC07607,10.1093/rb/rbac012,2022
ATC07608,10.1088/1361-6528/abc6dd,2021
ATC07609,10.1002/jrs.5827,2020
ATC07610,10.1002/adhm.201700014,2017
ATC07611,10.1007/s00604-019-3913-8,2019
ATC07612,10.3390/pharmaceutics15071782,2023
ATC07613,10.1007/s00775-018-1544-x,2018
ATC07614,10.1021/acs.est.8b03146,2018
ATC07615,10.1186/s12896-023-00790-w,2023
ATC07616,10.1166/nnl.2017.2574,2017
ATC07617,10.3390/polym12112597,2020
ATC07618,10.1016/j.colsurfb.2023.113196,2023
ATC07619,10.1016/j.msec.2018.05.042,2018
ATC07620,10.1080/24701556.2020.1857407,2021
ATC07621,10.1016/j.mseb.2012.04.024,2012
ATC07622,10.1021/es801925c,2009
ATC07623,10.1002/elps.201700093,2017
ATC07624,10.5530/ijper.54.3.113,2020
ATC07625,10.1016/j.mtcomm.2022.104807,2022
ATC07626,10.3390/ijms21249663,2020
ATC07627,10.1016/j.ijbiomac.2015.03.058,2015
ATC07628,10.1021/acsanm.2c03269,2022
ATC07629,10.1016/j.bioactmat.2021.05.019,2021
ATC07630,10.1039/c5ra09463a,2015
ATC07631,10.1016/j.apsusc.2011.04.083,2011
ATC07632,10.1016/j.cej.2021.129072,2021
ATC07633,10.1016/j.ejps.2016.11.006,2017
ATC07634,10.1116/6.0002615,2023
ATC07635,10.1002/jat.2872,2013
ATC07636,10.26881/oahs-2023.4.06,2023
ATC07637,10.1021/acsestwater.0c00053,2021
ATC07638,10.1007/s40097-018-0255-8,2018
ATC07639,10.1016/j.memsci.2018.12.033,2019
ATC07640,10.1021/es301977w,2012
ATC07641,10.1007/s00244-017-0468-8,2018
ATC07642,10.1007/s00604-020-04657-1,2020
ATC07643,10.3390/ijms22052536,2021
ATC07644,10.1002/adhm.202203283,2023
ATC07645,10.1016/j.apsadv.2021.100159,2021
ATC07646,10.3390/biomedicines11102832,2023
ATC07647,10.1080/24701556.2020.1814332,2021
ATC07648,10.1039/c4en00006d,2014
ATC07649,10.1002/elsc.201800040,2018
ATC07650,10.1021/la9009702,2009
ATC07651,10.1016/j.ceramint.2023.10.258,2024
ATC07652,10.3109/17435390.2014.994570,2015
ATC07653,10.1371/journal.pone.0281756,2023
ATC07654,10.1016/j.carbpol.2012.10.047,2013
ATC07655,10.1080/17435390.2018.1485982,2018
ATC07656,10.1166/jnn.2019.15867,2019
ATC07657,10.2147/IJN.S150336,2018
ATC07658,10.1016/j.msec.2017.03.259,2017
ATC07659,10.1007/s10904-017-0545-5,2017
ATC07660,10.3390/molecules28020637,2023
ATC07661,10.1016/j.micres.2014.05.002,2014
ATC07662,10.1007/s10854-018-9487-0,2018
ATC07663,10.2174/2213337206666190515091945,2020
ATC07664,10.1002/app.29233,2009
ATC07665,10.1021/acsami.6b15085,2017
ATC07666,10.1007/s42452-020-3084-6,2020
ATC07667,10.1111/1751-7915.14195,2023
ATC07668,10.1080/01932691.2019.1626249,2020
ATC07669,10.25303/1811rjbt0200217,2023
ATC07670,10.3390/polym13223861,2021
ATC07671,10.1016/j.plantsci.2023.111936,2024
ATC07672,10.1002/em.22068,2017
ATC07673,10.1557/s43580-022-00305-3,2022
ATC07674,10.1016/j.jddst.2023.105029,2023
ATC07675,10.1007/s11051-017-3849-z,2017
ATC07676,10.1002/app.46504,2018
ATC07677,10.1016/j.msec.2019.109876,2019
ATC07678,10.1021/acssensors.6b00688,2017
ATC07679,10.1016/j.bcab.2019.101079,2019
ATC07680,10.1371/journal.pone.0021619,2011
ATC07681,10.1039/b611142d,2007
ATC07682,10.1021/acssuschemeng.9b05057,2019
ATC07683,10.1038/nmat2099,2008
ATC07684,10.1016/j.nano.2013.10.004,2014
ATC07685,10.1039/c4an01194e,2014
ATC07686,10.1016/j.jksus.2018.01.008,2019
ATC07687,10.1016/j.matlet.2015.02.059,2015
ATC07688,10.1016/j.actbio.2022.04.013,2022
ATC07689,10.1016/j.mtbio.2022.100293,2022
ATC07690,10.1016/j.ijbiomac.2017.06.040,2017
ATC07691,10.1021/acs.analchem.7b02554,2017
ATC07692,10.1016/j.watres.2018.06.069,2018
ATC07693,10.1007/s10904-023-02557-4,2023
ATC07694,10.1016/j.colsurfb.2021.112256,2022
ATC07695,10.1016/j.chemosphere.2012.05.023,2012
ATC07696,10.3934/agrfood.2020.3.449,2020
ATC07697,10.1021/acsanm.3c03267,2023
ATC07698,10.1134/S1070328413100138,2013
ATC07699,10.1016/j.fct.2024.114581,2024
ATC07700,10.1002/marc.200900106,2009
ATC07701,10.1016/j.envpol.2018.03.070,2018
ATC07702,10.1016/j.ecolind.2018.06.023,2018
ATC07703,10.1016/j.cej.2019.123241,2020
ATC07704,10.1155/2015/485343,2015
ATC07705,10.1007/s10695-022-01089-x,2022
ATC07706,10.1631/jzus.B2000525,2021
ATC07707,10.1080/01932691.2022.2120892,2023
ATC07708,10.1016/j.cap.2021.05.007,2021
ATC07709,10.1016/j.colsurfb.2016.05.073,2016
ATC07710,10.1039/d1en00050k,2021
ATC07711,10.3390/ijms130810193,2012
ATC07712,10.1007/s13204-019-01031-3,2019
ATC07713,10.1111/jam.14471,2020
ATC07714,10.1016/j.toxrep.2020.01.002,2020
ATC07715,10.1021/acsbiomaterials.9b01226,2019
ATC07716,10.1016/j.biomaterials.2008.09.020,2009
ATC07717,10.1016/j.bcab.2020.101689,2020
ATC07718,10.1016/j.apsusc.2010.12.113,2011
ATC07719,10.1007/s13213-019-1441-8,2019
ATC07720,10.1016/j.msec.2014.11.037,2015
ATC07721,10.1021/acs.langmuir.3c02529,2023
ATC07722,10.1016/j.inoche.2023.110581,2023
ATC07723,10.1016/j.procbio.2017.07.003,2017
ATC07724,10.1007/s12221-016-6668-4,2016
ATC07725,10.1166/nnl.2014.1719,2014
ATC07726,10.1007/s00128-014-1254-1,2014
ATC07727,10.1093/toxres/tfad074,2023
ATC07728,10.1039/c5an00497g,2015
ATC07729,10.1016/j.fsi.2016.06.026,2016
ATC07730,10.1242/jeb.204818,2019
ATC07731,10.2174/1389201022666210119101522,2019
ATC07732,10.1039/d2na00923d,2023
ATC07733,10.1021/acs.biomac.1c01007,2021
ATC07734,10.1016/j.chemosphere.2016.02.079,2016
ATC07735,10.1088/0957-4484/18/47/475103,2007
ATC07736,10.1007/BF03218929,2009
ATC07737,10.1016/j.ijpharm.2019.118590,2019
ATC07738,10.1016/j.cbpc.2019.108645,2020
ATC07739,10.1111/are.12928,2017
ATC07740,10.3390/nano12060941,2022
ATC07741,10.1002/marc.202300188,2023
ATC07742,10.1039/c5tb02551f,2016
ATC07743,10.1039/d3na00323j,2023
ATC07744,10.1016/j.xpro.2024.102858,2024
ATC07745,10.1155/2022/4762017,2022
ATC07746,10.3390/catal13050900,2023
ATC07747,10.3390/polym9120717,2017
ATC07748,10.1021/acsami.6b09267,2016
ATC07749,10.1155/2014/475825,2014
ATC07750,10.3109/21691401.2014.962744,2016
ATC07751,10.1007/s10068-023-01487-8,2024
ATC07752,10.1016/j.jcat.2019.09.017,2019
ATC07753,10.1155/2020/5920941,2020
ATC07754,10.1016/j.carbpol.2020.115842,2020
ATC07755,10.1016/j.jelechem.2022.116357,2022
ATC07756,10.3389/fmars.2020.00191,2020
ATC07757,10.1093/lambio/ovad130,2023
ATC07758,10.1016/j.colsurfb.2024.113889,2024
ATC07759,10.1016/j.bioelechem.2022.108226,2022
ATC07760,10.1002/jms.4290,2019
ATC07761,10.5812/jjm.27997,2016
ATC07762,10.1007/s12221-014-2572-y,2014
ATC07763,10.1021/acsbiomaterials.2c00611,2022
ATC07764,10.1016/j.ijfoodmicro.2008.03.004,2008
ATC07765,10.3390/pr11010272,2023
ATC07766,10.1007/s11696-023-02814-3,2023
ATC07767,10.1016/j.polymertesting.2020.106734,2020
ATC07768,10.1016/j.jece.2023.110190,2023
ATC07769,10.1016/j.jhazmat.2021.127705,2022
ATC07770,10.3390/s23073526,2023
ATC07771,10.1007/s10876-020-01866-9,2021
ATC07772,10.1016/j.msec.2015.04.047,2015
ATC07773,10.1002/jsfa.11220,2021
ATC07774,10.21608/ejchem.2023.212794.8008,2024
ATC07775,10.1152/ajpregu.00109.2005,2005
ATC07776,10.1080/15222055.2013.768573,2013
ATC07777,10.1007/s42250-022-00390-9,2022
ATC07778,10.1016/j.micromeso.2020.110824,2021
ATC07779,10.1039/c6tb01110a,2016
ATC07780,10.1111/mmi.12007,2012
ATC07781,10.1016/j.jmst.2020.08.011,2021
ATC07782,10.1021/acssensors.8b00063,2018
ATC07783,10.1134/S0003683817050040,2017
ATC07784,10.3390/pharmaceutics12121217,2020
ATC07785,10.1002/jbio.201200199,2014
ATC07786,10.1016/j.jmat.2023.08.008,2024
ATC07787,10.1016/j.aquatox.2010.12.006,2011
ATC07788,10.1016/j.fpsl.2019.100379,2019
ATC07789,10.1021/acs.molpharmaceut.8b01345,2019
ATC07790,10.3390/en16052429,2023
ATC07791,10.1038/s41598-021-00699-4,2021
ATC07792,10.1166/nnl.2011.1235,2011
ATC07793,10.1007/s10856-008-3541-z,2009
ATC07794,10.1186/s43141-023-00481-1,2023
ATC07795,10.1002/pen.25375,2020
ATC07796,10.1007/s00289-018-2502-z,2019
ATC07797,10.1007/s10853-019-04312-y,2020
ATC07798,10.7150/thno.81817,2023
ATC07799,10.1016/j.molliq.2019.112353,2020
ATC07800,10.1016/j.talanta.2020.120859,2020
ATC07801,10.3390/pr11051489,2023
ATC07802,10.1149/2.1151706jes,2017
ATC07803,10.1007/s11051-020-04828-4,2020
